Year,Code,Name,Recreation Visits,"Visitor
Spending",Jobs Supported,Labor Income ,Value Added,"Economic
Output"
2023,BADL,Badlands National Park,"1,046,400","$134,579","1,916","$62,407","$107,624","$193,285"
2023,BIBE,Big Bend National Park,"509,129","$48,513",657,"$18,723","$29,810","$56,205"
2023,BISC,Biscayne National Park,"571,242","$42,063",540,"$21,267","$35,950","$61,171"
2023,BLCA,Black Canyon Of The Gunnison National Park,"357,069","$25,557",295,"$11,051","$18,492","$31,901"
2023,BRCA,Bryce Canyon National Park,"2,461,269","$231,942","3,190","$73,488","$125,354","$249,380"
2023,CANY,Canyonlands National Park,"800,322","$106,090","1,373","$42,757","$72,406","$129,549"
2023,CARE,Capitol Reef National Park,"1,268,861","$110,571","1,526","$33,710","$65,043","$127,124"
2023,CAVE,Carlsbad Caverns National Park,"394,121","$29,087",359,"$10,044","$17,246","$31,869"
2023,CHIS,Channel Islands National Park,"328,746","$22,588",266,"$13,111","$20,685","$33,094"
2023,CONG,Congaree National Park,"250,114","$14,881",173,"$5,713","$10,182","$17,955"
2023,CRLA,Crater Lake National Park,"559,976","$55,235",780,"$29,848","$45,883","$80,551"
2023,CUVA,Cuyahoga Valley National Park,"2,860,059","$138,684","2,136","$83,701","$130,956","$224,751"
2023,DEVA,Death Valley National Park,"1,099,632","$103,270","1,203","$50,595","$85,582","$137,280"
2023,DENA,Denali National Park & Preserve,"498,722","$559,409","7,785","$306,273","$491,620","$840,346"
2023,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"84,285","$5,885",62,"$2,364","$4,010","$6,671"
2023,EVER,Everglades National Park,"810,189","$120,646","1,749","$72,267","$120,342","$198,231"
2023,GAAR,Gates of the Arctic National Park & Preserve,"11,045","$18,471",258,"$10,102","$16,124","$27,642"
2023,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),"2,422,836","$170,178","2,687","$108,417","$173,054","$297,769"
2023,GLBA,Glacier Bay National Park & Preserve,"703,659","$291,717","3,644","$163,824","$254,593","$498,492"
2023,GLAC,Glacier National Park,"2,933,616","$372,129","5,725","$186,811","$287,572","$554,585"
2023,GOSP,Golden Spike National Park (Historic Site),"53,015","$3,474",47,"$1,614","$2,761","$4,971"
2023,GRCA,Grand Canyon National Park,"4,733,705","$768,411","10,060","$350,177","$582,513","$1,022,191"
2023,GRTE,Grand Teton National Park,"3,417,106","$737,983","9,369","$330,747","$541,797","$936,251"
2023,GRBA,Great Basin National Park,"143,265","$15,416",180,"$7,692","$13,217","$21,765"
2023,GRSA,Great Sand Dunes National Park & Preserve,"512,219","$34,284",427,"$11,236","$19,655","$37,941"
2023,GRSM,Great Smoky Mountains National Park,"13,297,647","$2,198,538","33,748","$1,267,581","$2,000,786","$3,397,905"
2023,GUMO,Guadalupe Mountains National Park,"227,340","$27,545",325,"$11,180","$18,633","$32,680"
2023,HALE,Haleakalā National Park,"791,292","$57,541",556,"$25,589","$47,193","$72,127"
2023,HAVO,Hawai'i Volcanoes National Park,"1,620,294","$154,595","1,586","$71,769","$133,618","$203,117"
2023,HOSP,Hot Springs National Park,"2,502,967","$184,190","2,591","$72,481","$131,576","$247,690"
2023,INDU,Indiana Dunes National Park (National Lakeshore),"2,765,892","$139,824","1,655","$79,238","$126,206","$206,254"
2023,ISRO,Isle Royale National Park,"28,965","$12,069",140,"$3,863","$6,780","$14,821"
2023,JOTR,Joshua Tree National Park,"3,270,404","$185,818","2,202","$83,720","$135,427","$227,384"
2023,KATM,Katmai National Park & Preserve,"33,763","$56,471",788,"$30,883","$49,295","$84,506"
2023,KEFJ,Kenai Fjords National Park,"387,525","$77,071","1,322","$47,815","$64,799","$117,498"
2023,KOVA,Kobuk Valley National Park,"17,616","$29,464",411,"$16,113","$25,720","$44,092"
2023,LACL,Lake Clark National Park & Preserve,"16,728","$27,981",390,"$15,302","$24,425","$41,872"
2023,LAVO,Lassen Volcanic National Park,"418,978","$40,318",507,"$19,427","$30,619","$51,059"
2023,MACA,Mammoth Cave National Park,"654,450","$62,024",822,"$32,873","$52,870","$89,560"
2023,MEVE,Mesa Verde National Park,"505,194","$59,482",776,"$23,184","$40,985","$75,637"
2023,MORA,Mount Rainier National Park,"1,674,294","$70,722",718,"$33,767","$59,221","$92,211"
2023,NOCA,North Cascades National Park,"40,351","$2,514",24,"$1,186","$2,055","$3,114"
2023,OLYM,Olympic National Park,"2,947,503","$279,236","2,990","$143,365","$255,285","$393,205"
2023,PEFO,Petrified Forest National Park,"520,491","$38,396",451,"$14,635","$24,671","$43,956"
2023,PINN,Pinnacles National Park,"341,220","$23,860",204,"$12,552","$19,056","$27,541"
2023,ROMO,Rocky Mountain National Park,"4,115,837","$568,527","7,833","$341,870","$551,120","$888,656"
2023,SAGU,Saguaro National Park,"1,010,906","$74,523",982,"$38,786","$65,606","$112,857"
2023,SEKI,Sequoia & Kings Canyon National Parks,"1,623,632","$145,570","1,786","$67,189","$108,030","$182,892"
2023,SHEN,Shenandoah National Park,"1,576,008","$114,436","1,351","$60,838","$99,409","$159,697"
2023,THRO,Theodore Roosevelt National Park,"746,862","$54,223",645,"$19,396","$32,967","$60,054"
2023,VIIS,Virgin Islands National Park,"343,685","$55,201",617,"$27,007","$51,208","$77,716"
2023,VOYA,Voyageurs National Park,"220,825","$20,356",279,"$8,028","$13,756","$25,640"
2023,WHSA,White Sands National Park (formerly White Sands National Monument),"729,096","$44,451",595,"$16,928","$27,341","$53,386"
2023,WICA,Wind Cave National Park,"592,459","$52,011",727,"$22,867","$40,501","$74,016"
2023,WRST,Wrangell - St. Elias National Park & Preserve,"78,305","$130,973","1,827","$71,628","$114,330","$195,996"
2023,YELL,Yellowstone National Park,"4,501,382","$623,274","8,561","$290,663","$451,782","$828,347"
2023,YOSE,Yosemite National Park,"3,897,070","$526,566","6,664","$257,591","$421,894","$724,563"
2023,ZION,Zion National Park,"4,623,238","$676,040","10,782","$279,218","$495,371","$967,289"
2022,ACAD,Acadia National Park,"3,970,260","$478,821","6,695","$231,941","$394,168","$690,712"
2022,ARCH,Arches National Park,"1,460,652","$274,172","3,558","$112,310","$188,653","$335,174"
2022,BADL,Badlands National Park,"1,006,809","$73,746",991,"$29,025","$50,916","$95,334"
2022,BIBE,Big Bend National Park,"514,107","$48,061",655,"$18,559","$29,560","$55,676"
2022,BISC,Biscayne National Park,"701,023","$50,949",659,"$25,797","$43,606","$74,118"
2022,BLCA,Black Canyon Of The Gunnison National Park,"297,257","$20,930",243,"$9,059","$15,154","$26,108"
2022,BRCA,Bryce Canyon National Park,"2,354,660","$218,608","3,019","$69,296","$118,191","$234,954"
2022,CANY,Canyonlands National Park,"779,147","$101,464","1,319","$40,896","$69,246","$123,758"
2022,CARE,Capitol Reef National Park,"1,227,608","$105,561","1,462","$32,199","$62,120","$121,297"
2022,CAVE,Carlsbad Caverns National Park,"390,932","$28,452",353,"$9,838","$16,890","$31,166"
2022,CHIS,Channel Islands National Park,"323,245","$21,775",258,"$12,639","$19,935","$31,853"
2022,CONG,Congaree National Park,"204,522","$11,831",138,"$4,534","$8,073","$14,224"
2022,CRLA,Crater Lake National Park,"527,259","$51,208",728,"$27,714","$42,626","$74,757"
2022,CUVA,Cuyahoga Valley National Park,"2,913,312","$55,996",778,"$30,380","$48,069","$86,244"
2022,DEVA,Death Valley National Park,"1,128,862","$104,819","1,228","$51,435","$86,947","$139,299"
2022,DENA,Denali National Park & Preserve,"427,562","$474,887","6,641","$260,213","$417,656","$713,505"
2022,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"78,488","$5,403",58,"$2,173","$3,686","$6,123"
2022,EVER,Everglades National Park,"1,155,193","$124,649","1,730","$66,665","$114,028","$192,518"
2022,GAAR,Gates of the Arctic National Park & Preserve,"9,457","$15,611",219,"$8,544","$13,634","$23,361"
2022,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),"1,618,774","$112,076","1,781","$71,532","$114,178","$196,236"
2022,GLBA,Glacier Bay National Park & Preserve,"545,758","$223,677","2,824","$126,214","$196,012","$382,678"
2022,GLAC,Glacier National Park,"2,908,458","$367,589","5,691","$184,793","$284,541","$548,417"
2022,GOSP,Golden Spike National Park (Historic Site),"49,042","$3,169",43,"$1,475","$2,522","$4,536"
2022,GRCA,Grand Canyon National Park,"4,732,101","$758,899","9,991","$346,332","$576,355","$1,010,477"
2022,GRTE,Grand Teton National Park,"2,806,223","$597,470","7,608","$267,468","$438,271","$757,041"
2022,GRBA,Great Basin National Park,"142,115","$9,151",122,"$2,644","$4,847","$9,668"
2022,GRSA,Great Sand Dunes National Park & Preserve,"493,428","$32,538",408,"$10,668","$18,659","$35,980"
2022,GRSM,Great Smoky Mountains National Park,"12,937,633","$2,110,462","32,590","$1,218,335","$1,922,997","$3,262,390"
2022,GUMO,Guadalupe Mountains National Park,"219,987","$26,288",311,"$10,671","$17,784","$31,165"
2022,HALE,Haleakalā National Park,"1,087,616","$78,419",764,"$34,951","$64,475","$98,412"
2022,HAVO,Hawai'i Volcanoes National Park,"1,580,961","$148,615","1,534","$69,074","$128,524","$195,158"
2022,HOSP,Hot Springs National Park,"2,646,133","$191,724","2,713","$75,533","$137,087","$257,732"
2022,INDU,Indiana Dunes National Park (National Lakeshore),"2,834,180","$141,327","1,685","$80,203","$127,743","$208,509"
2022,ISRO,Isle Royale National Park,"25,454","$10,368",120,"$3,314","$5,809","$12,738"
2022,JOTR,Joshua Tree National Park,"3,058,294","$171,013","2,037","$77,112","$124,692","$209,054"
2022,KATM,Katmai National Park & Preserve,"33,908","$55,973",785,"$30,636","$48,885","$83,763"
2022,KEFJ,Kenai Fjords National Park,"389,943","$76,465","1,320","$47,578","$64,499","$116,680"
2022,KOVA,Kobuk Valley National Park,"16,925","$27,939",392,"$15,292","$24,401","$41,810"
2022,LACL,Lake Clark National Park & Preserve,"18,187","$30,024",421,"$16,433","$26,222","$44,930"
2022,LAVO,Lassen Volcanic National Park,"446,291","$30,014",371,"$12,738","$20,341","$35,786"
2022,MACA,Mammoth Cave National Park,"663,147","$62,024",828,"$32,923","$52,970","$89,639"
2022,MEVE,Mesa Verde National Park,"499,790","$58,031",762,"$22,652","$40,039","$73,794"
2022,MORA,Mount Rainier National Park,"1,622,395","$67,234",687,"$32,128","$56,333","$87,612"
2022,NOCA,North Cascades National Park,"30,154","$1,639",15,$758,"$1,293","$1,955"
2022,OLYM,Olympic National Park,"2,432,972","$227,620","2,453","$117,022","$208,138","$320,238"
2022,PEFO,Petrified Forest National Park,"505,209","$36,752",434,"$14,026","$23,644","$42,065"
2022,PINN,Pinnacles National Park,"275,023","$18,922",162,"$9,962","$15,116","$21,802"
2022,ROMO,Rocky Mountain National Park,"4,300,424","$583,794","8,082","$351,160","$566,000","$911,894"
2022,SAGU,Saguaro National Park,"908,194","$66,012",876,"$34,400","$58,183","$99,981"
2022,SEKI,Sequoia & Kings Canyon National Parks,"1,794,184","157,530","1,933","72,556","116,412","196,461"
2022,SHEN,Shenandoah National Park,"1,449,300","$104,152","1,239","$55,478","$90,656","$145,464"
2022,THRO,Theodore Roosevelt National Park,"668,679","$47,721",570,"$17,091","$29,032","$52,799"
2022,VIIS,Virgin Islands National Park,"196,752","$31,028",347,"$15,075","$28,661","$43,520"
2022,VOYA,Voyageurs National Park,"221,434","$20,136",278,"$7,953","$13,645","$25,414"
2022,WHSA,White Sands National Park (formerly White Sands National Monument),"705,127","$42,405",572,"$16,168","$26,111","$50,919"
2022,WICA,Wind Cave National Park,"607,418","$52,696",741,"$23,201","$41,099","$75,038"
2022,WRST,Wrangell - St. Elias National Park & Preserve,"65,236","$107,689","1,510","$58,942","$94,051","$161,154"
2022,YELL,Yellowstone National Park,"3,290,242","$452,025","6,234","$210,832","$327,536","$599,600"
2022,YOSE,Yosemite National Park,"3,667,550","$497,552","6,314","$243,403","$398,697","$683,739"
2022,ZION,Zion National Park,"4,692,417","$672,427","10,777","$277,900","$492,714","$961,270"
2021,ACAD,Acadia National Park,"4,069,098","$486,056","6,841","$236,009","$401,158","$702,038"
2021,ARCH,Arches National Park,"1,806,865","$236,999","3,229","$94,614","$160,803","$294,344"
2021,BADL,Badlands National Park,"1,224,226","$88,287","1,193","$34,782","$61,008","$114,085"
2021,BIBE,Big Bend National Park,"581,220","$53,078",726,"$20,472","$32,565","$61,238"
2021,BISC,Biscayne National Park,"705,655","$50,551",658,"$25,625","$43,312","$73,538"
2021,BLCA,Black Canyon Of The Gunnison National Park,"308,910","$21,401",250,"$9,270","$15,505","$26,676"
2021,BRCA,Bryce Canyon National Park,"2,104,600","$194,832","2,693","$78,801","$135,874","$252,003"
2021,CANY,Canyonlands National Park,"911,594","$62,875",777,"$22,784","$38,827","$71,270"
2021,CARE,Capitol Reef National Park,"1,405,353","$113,355","1,361","$42,947","$74,236","$131,894"
2021,CAVE,Carlsbad Caverns National Park,"349,244","$25,066",312,"$8,679","$14,898","$27,448"
2021,CHIS,Channel Islands National Park,"319,252","$21,278",254,"$12,373","$19,516","$31,155"
2021,CONG,Congaree National Park,"215,181","$12,311",145,"$4,727","$8,416","$14,808"
2021,CRLA,Crater Lake National Park,"647,751","$61,964",887,"$33,579","$51,661","$90,509"
2021,CUVA,Cuyahoga Valley National Park,"2,575,275","$48,712",681,"$26,464","$41,878","$75,054"
2021,DEVA,Death Valley National Park,"1,146,551","$104,182","1,228","$51,126","$86,399","$138,262"
2021,DENA,Denali National Park & Preserve,"229,521","$255,220","3,585","$139,985","$224,864","$383,763"
2021,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"83,817","$5,696",61,"$2,294","$3,892","$6,456"
2021,EVER,Everglades National Park,"942,130","$100,209","1,401","$53,662","$91,766","$154,787"
2021,GAAR,Gates of the Arctic National Park & Preserve,"7,362","$11,995",169,"$6,571","$10,481","$17,951"
2021,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),"1,145,081","$126,069","2,048","$72,060","$115,892","$210,056"
2021,GLBA,Glacier Bay National Park & Preserve,"89,768","$39,104",521,"$22,521","$34,641","$66,370"
2021,GLAC,Glacier National Park,"3,081,656","$383,738","5,975","$193,050","$297,111","$572,155"
2021,GOSP,Golden Spike National Park (Historic Site),"4,532,677","$710,256","9,390","$324,318","$539,433","$944,693"
2021,GRCA,Grand Canyon National Park,"4,532,677","$710,256","9,390","$324,318","$539,433","$944,693"
2021,GRTE,Grand Teton National Park,"3,885,230","$774,059","10,544","$357,591","$560,827","$1,021,772"
2021,GRBA,Great Basin National Park,"144,875","$9,120",122,"$2,634","$4,825","$9,608"
2021,GRSA,Great Sand Dunes National Park & Preserve,"602,613","$41,277",536,"$16,956","$29,116","$52,415"
2021,GRSM,Great Smoky Mountains National Park,"14,161,548","$1,292,745","18,807","$618,010","$1,036,519","$1,845,873"
2021,GUMO,Guadalupe Mountains National Park,"243,291","$16,832",234,"$6,597","$10,788","$20,694"
2021,HALE,Haleakalā National Park,"853,181","$61,017",598,"$27,256","$50,295","$76,667"
