Year,Code,Name,Recreation Visits,"Visitor
Spending",Jobs Supported,Labor Income ,Value Added,"Economic
Output"
2020,JOTR,Joshua Tree National Park,"2,399,542","$121,857","1,512","$60,065","$102,413","$163,752"
2020,KATM,Katmai National Park & Preserve,"51,511","$79,269",975,"$37,287","$69,812","$112,909"
2020,KEFJ,Kenai Fjords National Park,"115,882","$21,215",363,"$11,597","$17,692","$30,560"
2020,KOVA,Kobuk Valley National Park,"11,185","$17,214",212,"$8,097","$15,161","$24,520"
2020,LACL,Lake Clark National Park & Preserve,"4,948","$7,617",94,"$3,583","$6,709","$10,850"
2020,LAVO,Lassen Volcanic National Park,"542,274","$33,295",444,"$12,835","$21,287","$37,718"
2020,MACA,Mammoth Cave National Park,"290,392","$25,146",333,"$12,307","$21,089","$34,507"
2020,MEVE,Mesa Verde National Park,"287,477","$30,196",425,"$11,524","$20,724","$37,437"
2020,MORA,Mount Rainier National Park,"1,160,753","$41,074",445,"$18,741","$33,547","$51,251"
2020,NOCA,North Cascades National Park,"30,885","$1,528",15,$698,"$1,207","$1,795"
2020,OLYM,Olympic National Park,"2,499,178","$213,024","2,412","$103,933","$191,636","$291,362"
2020,PEFO,Petrified Forest National Park,"384,484","$25,308",328,"$8,416","$15,422","$27,947"
2020,PINN,Pinnacles National Park,"165,741","$10,336",114,"$5,044","$8,068","$12,412"
2020,ROMO,Rocky Mountain National Park,"3,305,200","$224,393","3,190","$120,843","$208,088","$341,950"
2020,SAGU,Saguaro National Park,"762,226","$50,105",696,"$25,321","$44,102","$73,510"
2020,SEKI,Sequoia & Kings Canyon National Parks,"1,211,162","96,652","1,228","41,433","68,936","115,815"
2020,SHEN,Shenandoah National Park,"1,666,265","$107,396","1,314","$54,482","$90,608","$141,577"
2020,THRO,Theodore Roosevelt National Park,"551,304","$36,222",462,"$13,799","$23,317","$41,119"
2020,VIIS,Virgin Islands National Park,"167,540","$24,126",292,"$11,904","$22,171","$34,218"
2020,VOYA,Voyageurs National Park,"263,092","$21,474",310,"$8,123","$14,453","$26,221"
2020,WHSA,White Sands National Park (formerly White Sands National Monument),"415,383","$22,487",309,"$8,235","$14,056","$26,050"
2020,WICA,Wind Cave National Park,"448,406","$37,468",546,"$16,339","$28,363","$50,993"
2020,WRST,Wrangell - St. Elias National Park & Preserve,"16,655","$25,629",315,"$12,055","$22,571","$36,504"
2020,YELL,Yellowstone National Park,"3,806,306","$444,226","6,110","$194,281","$325,551","$560,441"
2020,YOSE,Yosemite National Park,"2,268,313","$273,842","3,410","$122,220","$208,964","$346,676"
2020,ZION,Zion National Park,"3,591,254","$207,909","3,464","$80,997","$142,615","$276,812"
2019,ACAD,Acadia National Park,"3,437,286","$379,517","5,474","$168,284","$298,961","$510,962"
2019,ARCH,Arches National Park,"1,659,702","$201,299","3,089","$81,926","$145,353","$264,383"
2019,BADL,Badlands National Park,"970,998","$63,503",890,"$25,075","$43,288","$79,643"
2019,BIBE,Big Bend National Park,"463,833","$41,295",601,"$13,546","$24,853","$46,648"
2019,BISC,Biscayne National Park,"708,522","$46,249",606,"$22,947","$39,769","$64,758"
2019,BLCA,Black Canyon Of The Gunnison National Park,"432,818","$27,599",344,"$11,743","$20,556","$33,976"
2019,BRCA,Bryce Canyon National Park,"2,594,904","$222,115","3,206","$83,420","$147,909","$268,899"
2019,CANY,Canyonlands National Park,"733,995","$45,909",647,"$17,170","$30,020","$54,806"
2019,CARE,Capitol Reef National Park,"1,226,519","$89,789","1,185","$31,281","$55,996","$101,742"
2019,CAVE,Carlsbad Caverns National Park,"440,691","$28,806",385,"$10,485","$17,735","$32,428"
2019,CHIS,Channel Islands National Park,"409,630","$25,285",314,"$13,835","$22,621","$35,685"
2019,CONG,Congaree National Park,"159,445","$8,173",102,"$3,143","$5,606","$9,643"
2019,CRLA,Crater Lake National Park,"704,511","$61,780",892,"$29,210","$48,118","$82,859"
2019,CUVA,Cuyahoga Valley National Park,"2,237,997","$39,503",579,"$19,865","$33,169","$57,220"
2019,DEVA,Death Valley National Park,"1,740,945","$147,122","1,811","$70,634","$119,244","$190,145"
2019,DENA,Denali National Park & Preserve,"601,152","$612,770","7,490","$287,751","$541,354","$874,209"
2019,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"79,200","$4,836",55,"$1,953","$3,370","$5,448"
2019,EVER,Everglades National Park,"1,118,300","$110,371","1,508","$57,472","$101,388","$164,874"
2019,GAAR,Gates of the Arctic National Park & Preserve,"10,518","$16,078",198,"$7,546","$14,125","$22,877"
2019,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),"10,518","$16,078",198,"$7,546","$14,125","$22,877"
2019,GLBA,Glacier Bay National Park & Preserve,"672,087","$246,447","2,929","$121,238","$213,514","$402,334"
2019,GLAC,Glacier National Park,"3,049,840","$356,112","5,395","$169,133","$278,790","$501,198"
2019,GOSP,Golden Spike National Park (Historic Site),"108,153","$6,278",95,"$2,957","$4,994","$8,840"
2019,GRCA,Grand Canyon National Park,"5,974,410","$891,243","11,806","$354,979","$634,575","$1,089,195"
2019,GRTE,Grand Teton National Park,"3,405,614","$629,536","8,638","$274,619","$463,007","$795,638"
2019,GRBA,Great Basin National Park,"131,802","$7,767",108,"$2,393","$4,183","$8,018"
2019,GRSA,Great Sand Dunes National Park & Preserve,"527,546","$33,090",449,"$13,028","$22,828","$40,140"
2019,GRSM,Great Smoky Mountains National Park,"12,547,743","$1,054,815","15,176","$482,218","$824,057","$1,427,790"
2019,GUMO,Guadalupe Mountains National Park,"188,833","$11,880",166,"$4,478","$7,807","$14,306"
2019,HALE,Haleakalā National Park,"994,393","$64,738",684,"$29,104","$53,202","$81,590"
2019,HAVO,Hawai'i Volcanoes National Park,"1,368,375","$116,455","1,279","$53,795","$99,886","$153,036"
2019,HOSP,Hot Springs National Park,"1,467,153","$95,358","1,420","$36,590","$68,395","$124,191"
2019,INDU,Indiana Dunes National Park (National Lakeshore),"2,134,285","$95,259","1,143","$49,230","$83,336","$129,794"
2019,ISRO,Isle Royale National Park,"26,410","$6,188",92,"$1,990","$3,780","$7,132"
2019,JOTR,Joshua Tree National Park,"2,988,547","$149,952","1,864","$73,726","$125,566","$200,853"
2019,KATM,Katmai National Park & Preserve,"84,167","$128,681","1,584","$60,394","$113,052","$183,096"
2019,KEFJ,Kenai Fjords National Park,"356,601","$65,496","1,118","$35,714","$54,627","$94,273"
2019,KOVA,Kobuk Valley National Park,"15,766","$24,106",297,"$11,314","$21,178","$34,300"
2019,LACL,Lake Clark National Park & Preserve,"17,157","$26,230",323,"$12,311","$23,045","$37,322"
2019,LAVO,Lassen Volcanic National Park,"517,038","$31,906",427,"$12,286","$20,404","$36,199"
2019,MACA,Mammoth Cave National Park,"551,589","$48,079",637,"$23,517","$40,341","$66,053"
2019,MEVE,Mesa Verde National Park,"556,204","$58,125",822,"$22,175","$39,857","$72,042"
2019,MORA,Mount Rainier National Park,"1,501,621","$55,866",608,"$25,656","$45,985","$70,187"
2019,NOCA,North Cascades National Park,"38,208","$1,895",19,$864,"$1,498","$2,230"
2019,OLYM,Olympic National Park,"3,245,805","$276,115","3,131","$134,438","$248,304","$377,779"
2019,PEFO,Petrified Forest National Park,"643,588","$42,045",545,"$13,954","$25,568","$46,362"
2019,PINN,Pinnacles National Park,"177,224","$10,541",123,"$5,313","$8,417","$12,982"
2019,ROMO,Rocky Mountain National Park,"4,670,053","$313,577","4,467","$168,502","$289,999","$476,771"
2019,SAGU,Saguaro National Park,"1,020,225","$66,652",928,"$33,624","$58,566","$97,662"
2019,SEKI,Sequoia & Kings Canyon National Parks,"1,878,164","152,119","1,946","65,406","108,270","181,809"
2019,SHEN,Shenandoah National Park,"1,425,507","$96,711","1,194","$49,470","$82,427","$128,845"
2019,THRO,Theodore Roosevelt National Park,"691,658","$44,336",565,"$16,871","$28,406","$50,057"
2019,VIIS,Virgin Islands National Park,"133,398","$19,527",224,"$9,420","$17,757","$27,012"
2019,VOYA,Voyageurs National Park,"232,974","$19,250",278,"$7,266","$13,025","$23,675"
2019,WHSA,White Sands National Park (formerly White Sands National Monument),"608,786","$32,715",449,"$11,949","$20,390","$37,809"
2019,WICA,Wind Cave National Park,"615,350","$51,037",745,"$22,214","$38,559","$69,366"
2019,WRST,Wrangell - St. Elias National Park & Preserve,"74,518","$113,929","1,402","$53,471","$100,092","$162,106"
2019,YELL,Yellowstone National Park,"4,020,288","$506,906","7,003","$221,794","$372,399","$642,052"
2019,YOSE,Yosemite National Park,"4,422,862","$546,596","6,815","$243,706","$415,390","$688,972"
2019,ZION,Zion National Park,"4,488,267","$258,364","4,322","$100,555","$176,967","$343,855"
2018,ACAD,Acadia National Park,"3,537,575","$387,654","5,602","$171,668","$304,982","$521,454"
2018,ARCH,Arches National Park,"1,663,556","$200,337","3,079","$81,408","$144,434","$262,845"
2018,BADL,Badlands National Park,"1,008,942","$65,840",924,"$25,954","$44,838","$82,542"
2018,BIBE,Big Bend National Park,"440,091","$38,865",567,"$12,734","$23,309","$43,775"
2018,BISC,Biscayne National Park,"469,254","$30,309",398,"$15,004","$25,993","$42,347"
2018,BLCA,Black Canyon Of The Gunnison National Park,"308,962","$19,315",241,"$8,192","$14,317","$23,677"
2018,BRCA,Bryce Canyon National Park,"2,679,478","$227,305","3,288","$85,163","$150,944","$274,654"
2018,CANY,Canyonlands National Park,"739,450","$45,776",646,"$17,081","$29,852","$54,529"
2018,CARE,Capitol Reef National Park,"1,227,626","$89,216","1,178","$31,022","$55,530","$100,955"
2018,CAVE,Carlsbad Caverns National Park,"465,912","$30,238",404,"$10,985","$18,580","$33,994"
2018,CHIS,Channel Islands National Park,"366,249","$22,907",286,"$12,537","$20,543","$32,437"
2018,CONG,Congaree National Park,"145,928","$7,415",93,"$2,844","$5,072","$8,730"
2018,CRLA,Crater Lake National Park,"720,658","$62,399",903,"$29,473","$48,410","$83,368"
2018,CUVA,Cuyahoga Valley National Park,"2,096,053","$36,811",540,"$18,481","$30,864","$53,263"
2018,DEVA,Death Valley National Park,"1,678,659","$141,260","1,743","$67,734","$114,308","$182,390"
2018,DENA,Denali National Park & Preserve,"594,661","$602,445","7,368","$282,255","$530,916","$858,582"
2018,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"56,810","$3,426",39,"$1,380","$2,379","$3,849"
2018,EVER,Everglades National Park,"597,124","$58,664",803,"$30,497","$53,840","$87,604"
2018,GAAR,Gates of the Arctic National Park & Preserve,"9,591","$14,567",179,"$6,821","$12,767","$20,705"
2018,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),"2,016,179","$202,653","3,409","$108,440","$181,307","$319,322"
2018,GLBA,Glacier Bay National Park & Preserve,"597,916","$217,161","2,582","$106,863","$188,142","$354,389"
2018,GLAC,Glacier National Park,"2,965,310","$344,287","5,225","$163,216","$269,031","$484,016"
2018,GOSP,Golden Spike National Park (Historic Site),"60,129","$3,467",53,"$1,629","$2,752","$4,874"
2018,GRCA,Grand Canyon National Park,"6,380,494","$947,119","12,558","$376,702","$673,460","$1,156,748"
2018,GRTE,Grand Teton National Park,"3,491,151","$628,933","8,624","$273,462","$460,520","$791,628"
2018,GRBA,Great Basin National Park,"153,094","$8,795",122,"$2,703","$4,710","$9,023"
2018,GRSA,Great Sand Dunes National Park & Preserve,"442,906","$27,414",372,"$10,767","$18,850","$33,160"
2018,GRSM,Great Smoky Mountains National Park,"11,421,201","$953,130","13,737","$434,943","$743,083","$1,288,291"
2018,GUMO,Guadalupe Mountains National Park,"172,347","$10,710",150,"$4,028","$7,017","$12,863"
2018,HALE,Haleakalā National Park,"1,044,083","$67,459",714,"$30,261","$55,313","$84,872"
2018,HAVO,Hawai'i Volcanoes National Park,"1,116,890","$94,118","1,035","$43,374","$80,559","$123,476"
2018,HOSP,Hot Springs National Park,"1,506,887","$97,291","1,451","$37,263","$69,654","$126,546"
2018,INDU,Indiana Dunes National Park (National Lakeshore),"1,756,080","$77,852",936,"$40,147","$67,960","$105,893"
2018,ISRO,Isle Royale National Park,"25,798","$5,655",85,"$1,806","$3,404","$6,454"
2018,JOTR,Joshua Tree National Park,"2,942,381","$146,479","1,823","$71,879","$122,394","$195,883"
2018,KATM,Katmai National Park & Preserve,"37,818","$57,441",707,"$26,899","$50,342","$81,645"
2018,KEFJ,Kenai Fjords National Park,"321,596","$58,752","1,004","$31,995","$48,971","$84,499"
2018,KOVA,Kobuk Valley National Park,"14,937","$22,686",279,"$10,624","$19,882","$32,245"
2018,LACL,Lake Clark National Park & Preserve,"14,479","$21,992",271,"$10,298","$19,274","$31,259"
2018,LAVO,Lassen Volcanic National Park,"499,435","$30,328",406,"$11,645","$19,321","$34,285"
2018,MACA,Mammoth Cave National Park,"533,206","$45,094",598,"$21,969","$37,614","$61,621"
2018,MEVE,Mesa Verde National Park,"563,421","$58,513",828,"$22,283","$40,058","$72,444"
2018,MORA,Mount Rainier National Park,"1,518,491","$54,896",597,"$25,091","$44,787","$68,415"
2018,NOCA,North Cascades National Park,"30,085","$1,375",14,$623,"$1,059","$1,576"
2018,OLYM,Olympic National Park,"3,104,455","$261,607","2,972","$127,188","$234,553","$357,063"
2018,PEFO,Petrified Forest National Park,"644,921","$41,835",542,"$13,858","$25,392","$46,072"
2018,PINN,Pinnacles National Park,"222,152","$13,119",153,"$6,600","$10,456","$16,135"
2018,ROMO,Rocky Mountain National Park,"4,590,493","$305,593","4,363","$163,899","$282,015","$463,860"
2018,SAGU,Saguaro National Park,"957,405","$62,099",866,"$31,267","$54,459","$90,857"
2018,SEKI,Sequoia & Kings Canyon National Parks,"1,928,617","155,577","1,995","66,880","110,571","185,782"
2018,SHEN,Shenandoah National Park,"1,264,880","$86,905","1,077","$44,522","$74,222","$116,074"
2018,THRO,Theodore Roosevelt National Park,"749,389","$47,862",611,"$18,174","$30,622","$54,011"
2018,VIIS,Virgin Islands National Park,"112,287","$16,322",188,"$7,858","$14,810","$22,550"
2018,VOYA,Voyageurs National Park,"239,657","$19,541",283,"$7,365","$13,156","$23,914"
2018,WHSA,White Sands National Park (formerly White Sands National Monument),"603,008","$32,192",443,"$11,731","$20,017","$37,145"
2018,WICA,Wind Cave National Park,"656,398","$66,631","1,009","$28,728","$48,468","$88,760"
2018,WRST,Wrangell - St. Elias National Park & Preserve,"79,450","$120,679","1,486","$56,512","$105,764","$171,530"
2018,YELL,Yellowstone National Park,"4,115,001","$512,566","7,089","$223,866","$375,210","$647,091"
2018,YOSE,Yosemite National Park,"4,009,438","$495,245","6,184","$220,522","$376,018","$624,129"
2018,ZION,Zion National Park,"4,320,032","$246,236","4,130","$95,644","$168,265","$327,236"
2017,ACAD,Acadia National Park,"3,509,271","$284,459.80","4,163","$107,621.50","$185,248.30","$338,873.80"
2017,ARCH,Arches National Park,"1,539,028","$182,505.50","2,869","$75,990.70","$132,261.20","$241,343.90"
2017,BADL,Badlands National Park,"1,054,325","$66,005.90",952,"$24,990.80","$43,349.70","$80,730.60"
2017,BIBE,Big Bend National Park,"440,275","$37,305.30",541,"$12,524.50","$22,453.30","$40,902.00"
2017,BISC,Biscayne National Park,"446,961","$27,986.70",364,"$14,021.50","$23,872.50","$38,537.60"
2017,BLCA,Black Canyon Of The Gunnison National Park,"307,142","$18,656.50",236,"$8,240.10","$13,927.20","$22,906.60"
2017,BRCA,Bryce Canyon National Park,"2,571,684","$212,958.50","3,119","$83,429.60","$141,782.30","$256,381.00"
2017,CANY,Canyonlands National Park,"742,272","$44,541.80",640,"$16,852.20","$28,871.10","$52,753.10"
2017,CARE,Capitol Reef National Park,"1,150,165","$81,284.40","1,100","$29,476.70","$50,867.70","$91,814.00"
2017,CAVE,Carlsbad Caverns National Park,"520,026","$32,750.00",458,"$11,451.90","$19,573.00","$36,169.00"
2017,CHIS,Channel Islands National Park,"383,687","$23,095.10",308,"$12,296.30","$19,927.00","$32,268.80"
2017,CONG,Congaree National Park,"159,595","$7,827.50",101,"$2,856.70","$5,168.70","$9,068.20"
2017,CRLA,Crater Lake National Park,"711,749","$59,899.50",981,"$26,785.40","$43,488.30","$80,578.30"
2017,CUVA,Cuyahoga Valley National Park,"2,226,879","$63,098.60",931,"$26,600.70","$44,137.60","$78,148.10"
2017,DEVA,Death Valley National Park,"1,294,827","$106,839.20","1,393","$49,949.80","$84,839.40","$137,800.90"
2017,DENA,Denali National Park & Preserve,"642,809","$632,370.40","8,154","$293,019.80","$558,321.10","$924,184.00"
2017,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"54,280","$3,190.30",38,"$1,252.90","$2,152.60","$3,496.40"
2017,EVER,Everglades National Park,"1,018,557","$97,398.30","1,320","$51,298.30","$89,354.80","$144,384.70"
2017,GAAR,Gates of the Arctic National Park & Preserve,"11,177","$17,161.40",223,"$7,944.00","$15,064.80","$25,016.40"
2017,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),"1,398,188","$135,944.10","2,340","$70,880.60","$119,724.60","$211,521.20"
2017,GLBA,Glacier Bay National Park & Preserve,"547,057","$113,804.70","2,090","$58,757.90","$94,544.60","$167,810.30"
2017,GLAC,Glacier National Park,"3,305,513","$275,137.30","4,602","$121,084.80","$194,557.50","$368,641.40"
2017,GOSP,Golden Spike National Park (Historic Site),"67,811","$3,799.30",58,"$1,771.40","$2,961.50","$5,258.90"
2017,GRCA,Grand Canyon National Park,"6,254,238","$666,912.80","9,423","$329,315.30","$581,624.30","$938,010.80"
2017,GRTE,Grand Teton National Park,"3,316,999","$589,903.90","8,694","$259,807.10","$421,551.80","$744,286.50"
2017,GRBA,Great Basin National Park,"168,027","$9,694.10",137,"$3,038.00","$5,263.20","$10,039.20"
2017,GRSA,Great Sand Dunes National Park & Preserve,"486,935","$29,582.60",408,"$11,243.80","$19,328.30","$34,602.20"
2017,GRSM,Great Smoky Mountains National Park,"11,338,893","$922,947.10","13,942","$405,780.50","$695,842.30","$1,237,735.00"
2017,GUMO,Guadalupe Mountains National Park,"225,257","$13,646.20",197,"$4,880.60","$8,712.30","$16,090.40"
2017,HALE,Haleakalā National Park,"1,112,390","$69,751.10",819,"$32,188.80","$56,282.00","$89,290.30"
2017,HAVO,Hawai'i Volcanoes National Park,"2,016,702","$166,177.30","2,020","$78,840.60","$140,441.10","$222,394.90"
2017,HOSP,Hot Springs National Park,"1,561,615","$97,854.30","1,494","$37,994.10","$70,417.10","$127,057.80"
2017,INDU,Indiana Dunes National Park (National Lakeshore),"2,158,471","$92,046.00","1,183","$45,690.60","$77,894.60","$124,216.90"
2017,ISRO,Isle Royale National Park,"28,196","$6,156.90",97,"$1,968.20","$3,580.30","$7,124.60"
2017,JOTR,Joshua Tree National Park,"2,853,619","$137,625.40","1,789","$67,602.70","$112,140.80","$182,717.50"
2017,KATM,Katmai National Park & Preserve,"37,818","$58,068.20",756,"$26,879.70","$50,974.00","$84,646.60"
2017,KEFJ,Kenai Fjords National Park,"303,598","$53,511.20","1,046","$28,170.70","$43,720.00","$78,907.30"
2017,KOVA,Kobuk Valley National Park,"15,500","$23,799.90",310,"$11,016.90","$20,892.30","$34,693.40"
2017,LACL,Lake Clark National Park & Preserve,"22,755","$34,939.20",455,"$16,173.30","$30,670.70","$50,931.30"
2017,LAVO,Lassen Volcanic National Park,"507,256","$30,096.80",437,"$11,492.50","$18,690.00","$34,535.70"
2017,MACA,Mammoth Cave National Park,"587,854","$48,145.50",706,"$22,993.60","$39,264.50","$66,846.60"
2017,MEVE,Mesa Verde National Park,"613,789","$62,294.40",909,"$24,336.90","$42,533.30","$77,020.30"
2017,MORA,Mount Rainier National Park,"1,415,867","$50,573.20",621,"$21,716.40","$39,617.80","$63,485.90"
2017,NOCA,North Cascades National Park,"30,326","$1,361.50",16,$575.40,"$1,005.50","$1,577.90"
2017,OLYM,Olympic National Park,"3,401,997","$279,392.00","3,556","$128,527.50","$240,936.30","$384,683.90"
2017,PEFO,Petrified Forest National Park,"627,756","$39,510.10",525,"$13,830.80","$24,164.70","$43,524.80"
2017,PINN,Pinnacles National Park,"233,334","$13,340.60",171,"$6,514.00","$10,259.50","$16,391.30"
2017,ROMO,Rocky Mountain National Park,"4,437,215","$286,151.80","4,207","$155,166.90","$261,229.80","$432,847.00"
2017,SAGU,Saguaro National Park,"964,759","$60,716.80",866,"$31,346.00","$52,701.70","$88,682.50"
2017,SEKI,Sequoia & Kings Canyon National Parks,"1,984,188","154,623","2,178","65,080","106,467","187,184"
2017,SHEN,Shenandoah National Park,"1,458,874","$95,825.50","1,204","$47,204.10","$79,270.20","$126,030.00"
2017,THRO,Theodore Roosevelt National Park,"708,003","$43,856.60",552,"$16,655.40","$27,445.30","$47,214.60"
2017,VIIS,Virgin Islands National Park,"304,408","$42,473.90",563,"$21,683.60","$38,559.90","$61,113.10"
2017,VOYA,Voyageurs National Park,"237,249","$18,886.20",273,"$7,070.10","$12,522.10","$22,826.70"
2017,WHSA,White Sands National Park (formerly White Sands National Monument),"612,468","$31,709.20",450,"$10,893.40","$19,054.40","$35,729.70"
2017,WICA,Wind Cave National Park,"619,924","$60,741.20",967,"$25,036.70","$42,686.60","$79,630.90"
2017,WRST,Wrangell - St. Elias National Park & Preserve,"68,292","$104,859.20","1,366","$48,539.20","$92,048.50","$152,854.50"
2017,YELL,Yellowstone National Park,"4,116,523","$498,822.70","7,354","$219,795.60","$354,627.40","$629,626.00"
2017,YOSE,Yosemite National Park,"4,336,889","$451,782.00","6,666","$204,703.40","$335,524.60","$589,343.70"
2017,ZION,Zion National Park,"4,504,812","$250,884.60","3,192","$119,715.90","$214,958.50","$341,477.50"
2016,ACAD,Acadia National Park,"3,303,394","$274,208.80","4,195","$111,087.10","$188,275.10","$332,786.30"
2016,ARCH,Arches National Park,"1,585,719","$188,802.50","3,120","$78,699.10","$142,124.60","$251,620.40"
2016,BADL,Badlands National Park,"996,263","$63,746.60","1,031","$24,935.90","$41,060.90","$79,640.50"
2016,BIBE,Big Bend National Park,"388,290","$34,197.40",510,"$11,549.00","$20,972.40","$37,888.70"
2016,BISC,Biscayne National Park,"514,709","$33,004.10",461,"$18,188.90","$28,395.10","$45,979.90"
2016,BLCA,Black Canyon Of The Gunnison National Park,"238,017","$14,616.10",197,"$6,769.00","$11,041.60","$18,040.20"
2016,BRCA,Bryce Canyon National Park,"2,365,111","$200,974.10","3,036","$78,944.80","$139,455.70","$244,697.30"
2016,CANY,Canyonlands National Park,"776,217","$47,639.70",722,"$18,085.80","$32,425.20","$57,605.30"
2016,CARE,Capitol Reef National Park,"1,064,904","$77,047.50","1,083","$28,532.10","$50,125.30","$88,246.30"
2016,CAVE,Carlsbad Caverns National Park,"466,772","$30,064.00",444,"$10,905.30","$18,277.60","$33,785.20"
2016,CHIS,Channel Islands National Park,"364,808","$22,436.00",315,"$12,610.70","$19,409.80","$31,882.70"
2016,CONG,Congaree National Park,"143,843","$7,307.30",101,"$2,816.10","$4,954.90","$8,529.80"
2016,CRLA,Crater Lake National Park,"756,343","$65,300.70","1,101","$31,401.20","$49,465.60","$89,386.80"
2016,CUVA,Cuyahoga Valley National Park,"2,423,391","$69,728.20","1,085","$31,246.90","$49,152.70","$87,223.80"
2016,DEVA,Death Valley National Park,"1,296,283","$108,077.80","1,505","$53,351.60","$86,468.10","$141,229.10"
2016,DENA,Denali National Park & Preserve,"587,412","$604,881.90","7,744","$286,405.40","$530,137.00","$864,377.50"
2016,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"73,661","$4,410.00",54,"$1,837.70","$2,996.00","$4,869.20"
2016,EVER,Everglades National Park,"930,907","$91,321.40","1,330","$52,994.10","$84,126.20","$136,391.80"
2016,GAAR,Gates of the Arctic National Park & Preserve,"10,047","$15,844.80",205,"$7,510.30","$13,788.60","$22,576.50"
2016,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),"1,271,855","$127,061.70","2,296","$70,346.10","$111,061.10","$198,145.00"
2016,GLBA,Glacier Bay National Park & Preserve,"2,946,681","$250,815.50","4,337","$117,600.50","$180,278.70","$339,014.10"
2016,GLAC,Glacier National Park,"520,171","$112,054.60","2,013","$60,733.30","$94,327.20","$161,071.60"
2016,GOSP,Golden Spike National Park (Historic Site),"5,969,811","$648,170.90","9,779","$334,219.80","$556,633.80","$904,315.70"
2016,GRCA,Grand Canyon National Park,"5,969,811","$648,170.90","9,779","$334,219.80","$556,633.80","$904,315.70"
2016,GRTE,Grand Teton National Park,"3,270,075","$597,290.50","9,365","$274,744.80","$439,366.40","$779,479.80"
2016,GRBA,Great Basin National Park,"144,847","$8,362.40",122,"$2,725.70","$4,863.80","$8,861.70"
2016,GRSA,Great Sand Dunes National Park & Preserve,"388,307","$23,701.00",348,"$9,194.60","$16,456.80","$28,938.70"
2016,GRSM,Great Smoky Mountains National Park,"11,312,786","$942,731.80","14,673","$426,908.80","$745,508.10","$1,277,787.60"
2016,GUMO,Guadalupe Mountains National Park,"181,838","$11,240.20",169,"$4,228.50","$7,384.40","$13,510.20"
2016,HALE,Haleakalā National Park,"1,263,559","$81,087.90",951,"$37,094.30","$62,840.30","$97,639.80"
2016,HAVO,Hawai'i Volcanoes National Park,"1,887,580","$159,195.50","1,917","$74,345.70","$129,139.80","$199,923.40"
2016,HOSP,Hot Springs National Park,"1,544,301","$98,960.20","1,584","$41,152.80","$69,807.10","$126,576.10"
2016,INDU,Indiana Dunes National Park (National Lakeshore),,,,,,
2016,ISRO,Isle Royale National Park,"24,966","$5,600.70",92,"$1,995.70","$3,518.90","$6,541.20"
2016,JOTR,Joshua Tree National Park,"2,505,286","$123,304.50","1,701","$63,662.00","$100,692.70","$164,529.90"
2016,KATM,Katmai National Park & Preserve,"37,818","$59,643.20",776,"$28,270.50","$51,903.30","$84,982.40"
2016,KEFJ,Kenai Fjords National Park,"346,534","$62,784.50","1,200","$34,936.90","$52,200.00","$90,223.90"
2016,KOVA,Kobuk Valley National Park,"15,500","$24,445.40",318,"$11,587.00","$21,273.20","$34,831.00"
2016,LACL,Lake Clark National Park & Preserve,"21,102","$33,280.30",432,"$15,774.60","$28,961.50","$47,419.30"
2016,LAVO,Lassen Volcanic National Park,"536,068","$32,639.40",478,"$12,093.60","$21,362.90","$37,514.10"
2016,MACA,Mammoth Cave National Park,"586,515","$49,629.70",764,"$24,024.90","$39,764.50","$67,961.50"
2016,MEVE,Mesa Verde National Park,"583,527","$60,591.00",883,"$23,648.10","$42,203.30","$73,272.90"
2016,MORA,Mount Rainier National Park,"1,356,913","$50,720.60",654,"$23,276.70","$40,311.50","$64,807.90"
2016,NOCA,North Cascades National Park,"28,646","$1,289.00",15,$553.10,$933.20,"$1,488.90"
2016,OLYM,Olympic National Park,"3,390,221","$286,786.30","3,842","$138,786.90","$246,007.50","$398,689.90"
2016,PEFO,Petrified Forest National Park,"643,273","$41,429.10",568,"$14,902.30","$26,303.00","$45,858.20"
2016,PINN,Pinnacles National Park,"215,555","$12,603.20",172,"$6,290.30","$9,570.00","$15,483.60"
2016,ROMO,Rocky Mountain National Park,"4,517,586","$298,746.70","4,575","$169,248.10","$273,812.20","$455,824.70"
2016,SAGU,Saguaro National Park,"820,427","$52,811.20",762,"$27,404.10","$44,829.80","$74,230.90"
2016,SEKI,Sequoia & Kings Canyon National Parks,"1,862,167","148,149","2,130","61,261","104,482","180,593"
2016,SHEN,Shenandoah National Park,"1,437,341","$96,204.10","1,278","$50,004.00","$79,138.60","$126,153.40"
2016,THRO,Theodore Roosevelt National Park,"753,880","$47,793.70",654,"$17,797.10","$28,484.60","$51,009.70"
2016,VIIS,Virgin Islands National Park,"411,343","$59,829.10",779,"$29,448.50","$51,991.30","$80,376.40"
2016,VOYA,Voyageurs National Park,"241,911","$19,780.20",310,"$7,616.10","$13,551.40","$24,601.60"
