Name,Location,Date established as park[7][12],Area (2021)[13],Recreation visitors (2021)[11]
North Cascades,Washington48∞42'N 121∞12'W/48.70∞N 121.20∞W,2-Oct-68,"504,780.94 acres (2,042.8†km2)",17855
Olympic,Washington47∞58'N 123∞30'W/47.97∞N 123.50∞W,29-Jun-38,"922,649.41 acres (3,733.8†km2)",2718925
Petrified Forest,Arizona35∞04'N 109∞47'W/35.07∞N 109.78∞W,9-Dec-62,"221,390.21 acres (895.9†km2)",590334
Pinnacles,California36∞29'N 121∞10'W/36.48∞N 121.16∞W,10-Jan-13,"26,685.73 acres (108.0†km2)",348857
Redwood *,California41∞18'N 124∞00'W/41.30∞N 124.00∞W,2-Oct-68,"138,999.37 acres (562.5†km2)",435879
Rocky Mountain,Colorado40∞24'N 105∞35'W/40.40∞N 105.58∞W,26-Jan-15,"265,807.24 acres (1,075.7†km2)",4434848
Saguaro,Arizona32∞15'N 110∞30'W/32.25∞N 110.50∞W,14-Oct-94,"92,867.42 acres (375.8†km2)",1079786
Sequoia,California36∞26'N 118∞41'W/36.43∞N 118.68∞W,"September 25, 1890","404,062.63 acres (1,635.2†km2)",1059548
Shenandoah,Virginia38∞32'N 78∞21'W/38.53∞N 78.35∞W,26-Dec-35,"200,192.09 acres (810.1†km2)",1592312
Theodore Roosevelt,North Dakota46∞58'N 103∞27'W/46.97∞N 103.45∞W,10-Nov-78,"70,446.89 acres (285.1†km2)",796085
Virgin Islands,U.S. Virgin Islands18∞20'N 64∞44'W/18.33∞N 64.73∞W,2-Aug-56,"15,052.33 acres (60.9†km2)",323999
Voyageurs,Minnesota48∞30'N 92∞53'W/48.50∞N 92.88∞W,8-Apr-75,"218,222.35 acres (883.1†km2)",243042
White Sands,New Mexico32∞47'N 106∞10'W/32.78∞N 106.17∞W,"December 20, 2019[112]","146,344.31 acres (592.2†km2)",782469
Wind Cave,South Dakota43∞34'N 103∞29'W/43.57∞N 103.48∞W,9-Jan-03,"33,970.84 acres (137.5†km2)",709001
WrangellÄìSt.†Elias *,Alaska61∞00'N 142∞00'W/61.00∞N 142.00∞W,2-Dec-80,"8,323,146.48 acres (33,682.6†km2)",50189
Yellowstone,"Wyoming, Montana, Idaho44∞36'N 110∞30'W/44.60∞N 110.50∞W","March 1, 1872","2,219,790.71 acres (8,983.2†km2)",4860242
Yosemite *,California37∞50'N 119∞30'W/37.83∞N 119.50∞W,"October 1, 1890","761,747.50 acres (3,082.7†km2)",3287595
Zion,Utah37∞18'N 113∞03'W/37.30∞N 113.05∞W,19-Nov-19,"147,242.66 acres (595.9†km2)",5039835
