Park Name,Park Code,State,Year,Month,Recreation Visitors,Non-Recreation Visitors,Recreation Visitor Hours,Non-Recreation Hours,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Non-Recreation Overnight Stays,Total Overnight Stays
Crater Lake National Park,CRLA,OR,2015,January,10489,2100,39953,1050,0,0,0,0,162,0,0,162
Crater Lake National Park,CRLA,OR,2015,February,8635,2400,33682,1200,0,0,0,0,173,0,0,173
Crater Lake National Park,CRLA,OR,2015,March,13938,2800,54242,1400,0,0,0,0,273,0,0,273
Crater Lake National Park,CRLA,OR,2015,April,16918,4800,63625,2400,62,0,0,0,171,0,0,233
Crater Lake National Park,CRLA,OR,2015,May,48217,4900,274731,2450,3457,0,0,2309,224,0,0,5990
Crater Lake National Park,CRLA,OR,2015,June,84679,6100,655525,3050,7373,1420,0,10348,291,0,0,19432
Crater Lake National Park,CRLA,OR,2015,July,147623,6500,1021114,3250,7804,1078,0,17211,690,0,0,26782
Crater Lake National Park,CRLA,OR,2015,August,97673,3900,849516,1950,7830,2400,0,16167,552,0,0,26949
Crater Lake National Park,CRLA,OR,2015,September,128398,4800,786179,2400,6478,1835,0,9561,261,0,0,18135
Crater Lake National Park,CRLA,OR,2015,October,42803,3300,195929,1650,1625,815,0,0,191,0,0,2631
Crater Lake National Park,CRLA,OR,2015,November,12769,3700,49251,1850,0,0,0,0,228,0,0,228
Crater Lake National Park,CRLA,OR,2015,December,2570,4300,9737,2150,0,0,0,0,37,0,0,37
Crater Lake National Park,CRLA,OR,2016,January,3112,2100,13472,1050,0,0,0,0,129,0,0,129
Crater Lake National Park,CRLA,OR,2016,February,7170,2400,30595,1200,0,0,0,0,275,0,0,275
Crater Lake National Park,CRLA,OR,2016,March,8961,2800,37724,1400,0,0,0,0,318,0,0,318
Crater Lake National Park,CRLA,OR,2016,April,20389,4800,76082,2400,0,0,0,0,236,0,0,236
Crater Lake National Park,CRLA,OR,2016,May,40627,4900,178674,2450,2065,0,0,0,172,0,0,2237
Crater Lake National Park,CRLA,OR,2016,June,122905,6100,687915,3050,7678,0,0,6479,266,0,0,14423
Crater Lake National Park,CRLA,OR,2016,July,190231,6500,1170959,3250,8062,1300,0,16409,1099,0,0,26870
Crater Lake National Park,CRLA,OR,2016,August,176895,3900,1129165,1950,7922,2250,0,15812,1102,0,0,27086
Crater Lake National Park,CRLA,OR,2016,September,131760,4800,849996,2400,6866,2070,0,11151,728,0,0,20815
Crater Lake National Park,CRLA,OR,2016,October,38985,3300,221555,1650,3278,660,0,910,63,0,0,4911
Crater Lake National Park,CRLA,OR,2016,November,10325,3700,38577,1850,0,0,0,0,122,0,0,122
Crater Lake National Park,CRLA,OR,2016,December,4984,4300,21364,2150,0,0,0,0,196,0,0,196
Crater Lake National Park,CRLA,OR,2017,January,1935,2100,9014,1050,0,0,0,0,112,0,0,112
Crater Lake National Park,CRLA,OR,2017,February,1402,2400,8106,1200,0,0,0,0,160,0,0,160
Crater Lake National Park,CRLA,OR,2017,March,8716,2800,37045,1400,0,0,0,0,327,0,0,327
Crater Lake National Park,CRLA,OR,2017,April,15043,4800,58332,2400,0,0,0,0,284,0,0,284
Crater Lake National Park,CRLA,OR,2017,May,38145,4900,172627,2450,2215,0,0,0,184,0,0,2399
Crater Lake National Park,CRLA,OR,2017,June,136567,6100,639212,3050,7038,0,0,2210,221,0,0,9469
Crater Lake National Park,CRLA,OR,2017,July,208237,6500,1192082,3250,7679,582,0,15716,721,0,0,24698
Crater Lake National Park,CRLA,OR,2017,August,157429,3900,988500,1950,7013,2072,0,13792,400,0,0,23278
Crater Lake National Park,CRLA,OR,2017,September,84340,4800,497900,2400,4750,1588,0,4615,133,0,0,11086
Crater Lake National Park,CRLA,OR,2017,October,41231,3300,178506,1650,1971,75,0,0,58,0,0,2104
Crater Lake National Park,CRLA,OR,2017,November,9687,3700,34666,1850,0,0,0,0,38,0,0,38
Crater Lake National Park,CRLA,OR,2017,December,9017,4300,35819,2150,0,0,0,0,213,0,0,213
Crater Lake National Park,CRLA,OR,2018,January,9220,2100,35209,1050,0,0,0,0,147,0,0,147
Crater Lake National Park,CRLA,OR,2018,February,8000,2400,31881,1200,0,0,0,0,194,0,0,194
Crater Lake National Park,CRLA,OR,2018,March,11143,2800,45861,1400,0,0,0,0,343,0,0,343
Crater Lake National Park,CRLA,OR,2018,April,19790,4800,73386,2400,0,0,0,0,206,0,0,206
Crater Lake National Park,CRLA,OR,2018,May,52298,4900,229860,2450,2551,0,0,145,155,0,0,2851
Crater Lake National Park,CRLA,OR,2018,June,110842,6100,639914,3050,7468,0,0,6327,297,0,0,14092
Crater Lake National Park,CRLA,OR,2018,July,179570,6500,1116978,3250,7734,2725,0,15104,408,0,0,25971
Crater Lake National Park,CRLA,OR,2018,August,134628,3900,879672,1950,7059,2052,0,12399,325,0,0,21836
Crater Lake National Park,CRLA,OR,2018,September,110911,4800,719155,2400,7831,1962,0,8064,257,0,0,18114
Crater Lake National Park,CRLA,OR,2018,October,58308,3300,238862,1650,2004,0,0,0,136,0,0,2140
Crater Lake National Park,CRLA,OR,2018,November,21309,3700,75702,1850,0,0,0,0,56,0,0,56
Crater Lake National Park,CRLA,OR,2018,December,4640,4300,17440,2150,0,0,0,0,60,0,0,60
Crater Lake National Park,CRLA,OR,2019,January,3120,2100,12920,1050,0,0,0,0,100,0,0,100
Crater Lake National Park,CRLA,OR,2019,February,2436,2400,9927,1200,0,0,0,0,70,0,0,70
Crater Lake National Park,CRLA,OR,2019,March,4800,2800,22080,1400,0,0,0,0,264,0,0,264
Crater Lake National Park,CRLA,OR,2019,April,15898,4800,59422,2400,0,0,0,0,189,0,0,189
Crater Lake National Park,CRLA,OR,2019,May,44808,4900,173020,2450,852,0,0,0,128,0,0,980
Crater Lake National Park,CRLA,OR,2019,June,103442,6100,522672,3050,8514,0,0,1090,130,0,0,9734
Crater Lake National Park,CRLA,OR,2019,July,201191,6500,906149,3250,7435,1330,0,2349,472,0,0,11586
Crater Lake National Park,CRLA,OR,2019,August,163472,3900,830283,1950,7225,1678,0,4854,595,0,0,14352
Crater Lake National Park,CRLA,OR,2019,September,98266,4800,583916,2400,7936,1178,0,4185,288,0,0,13586
Crater Lake National Park,CRLA,OR,2019,October,41635,3300,199777,1650,2654,508,0,0,72,0,0,3234
Crater Lake National Park,CRLA,OR,2019,November,16843,3700,60071,1850,0,0,0,0,56,0,0,56
Crater Lake National Park,CRLA,OR,2019,December,8601,4300,31545,2150,0,0,0,0,72,0,0,72
Crater Lake National Park,CRLA,OR,2020,January,3492,2100,13181,1050,0,0,0,0,48,0,0,48
Crater Lake National Park,CRLA,OR,2020,February,3351,2400,14650,1200,0,0,0,0,146,0,0,146
Crater Lake National Park,CRLA,OR,2020,March,5304,2800,21644,1400,0,0,0,0,154,0,0,154
Crater Lake National Park,CRLA,OR,2020,April,686,4800,2462,2400,0,0,0,0,3,0,0,3
Crater Lake National Park,CRLA,OR,2020,May,814,4900,2848,2450,0,0,0,0,0,0,0,0
Crater Lake National Park,CRLA,OR,2020,June,59731,6100,266227,3050,2683,0,0,308,404,0,0,3395
Crater Lake National Park,CRLA,OR,2020,July,209678,6500,974413,3250,7560,0,0,5143,836,0,0,13539
Crater Lake National Park,CRLA,OR,2020,August,222368,3900,1026295,1950,7148,0,0,5936,746,0,0,13830
Crater Lake National Park,CRLA,OR,2020,September,59093,4800,409821,2400,4446,0,0,6271,322,0,0,11039
Crater Lake National Park,CRLA,OR,2020,October,61613,3300,262189,1650,2654,0,0,0,204,0,0,2858
Crater Lake National Park,CRLA,OR,2020,November,18270,3700,64945,1850,0,0,0,0,50,0,0,50
Crater Lake National Park,CRLA,OR,2020,December,26100,4300,95790,2150,0,0,0,0,222,0,0,222
Crater Lake National Park,CRLA,OR,2021,January,8026,2100,30492,1050,0,0,0,0,120,0,0,120
Crater Lake National Park,CRLA,OR,2021,February,7803,2400,30369,1200,0,0,0,0,153,0,0,153
Crater Lake National Park,CRLA,OR,2021,March,15312,2800,60832,1400,0,0,0,0,362,0,0,362
Crater Lake National Park,CRLA,OR,2021,April,25680,4800,97720,2400,0,0,0,0,392,0,0,392
Crater Lake National Park,CRLA,OR,2021,May,56746,4900,242166,2450,2581,0,0,0,113,0,0,2694
Crater Lake National Park,CRLA,OR,2021,June,95155,6100,557835,3050,9317,0,0,3493,293,0,0,13103
Crater Lake National Park,CRLA,OR,2021,July,194712,6500,930584,3250,7667,0,0,5896,425,0,0,13988
Crater Lake National Park,CRLA,OR,2021,August,106379,3900,608010,1950,7259,0,0,5777,200,0,0,13236
Crater Lake National Park,CRLA,OR,2021,September,64152,4800,463628,2400,7781,0,0,5634,96,0,0,13511
Crater Lake National Park,CRLA,OR,2021,October,47196,3300,191322,1650,1571,0,0,0,50,0,0,1621
Crater Lake National Park,CRLA,OR,2021,November,19410,3700,68454,1850,0,0,0,0,26,0,0,26
Crater Lake National Park,CRLA,OR,2021,December,7180,4300,26111,2150,0,0,0,0,49,0,0,49
Crater Lake National Park,CRLA,OR,2022,January,6752,2100,25213,1050,0,0,0,0,79,0,0,79
Crater Lake National Park,CRLA,OR,2022,February,9213,2400,34655,1200,0,0,0,0,114,0,0,114
Crater Lake National Park,CRLA,OR,2022,March,11933,2800,47830,1400,0,0,0,0,295,0,0,295
Crater Lake National Park,CRLA,OR,2022,April,14779,4800,53647,2400,0,0,0,0,96,0,0,96
Crater Lake National Park,CRLA,OR,2022,May,31822,4900,149196,2450,2315,0,0,0,39,0,0,2354
Crater Lake National Park,CRLA,OR,2022,June,70975,6100,345101,3050,5958,0,0,0,68,0,0,6026
Crater Lake National Park,CRLA,OR,2022,July,139513,6500,770847,3250,7227,0,0,8006,340,0,0,15573
Crater Lake National Park,CRLA,OR,2022,August,107351,3900,660178,1950,6883,0,0,8450,266,0,0,15599
Crater Lake National Park,CRLA,OR,2022,September,78967,4800,557353,2400,7393,0,0,7928,206,0,0,15527
Crater Lake National Park,CRLA,OR,2022,October,39989,3300,163129,1650,1378,0,0,0,56,0,0,1434
Crater Lake National Park,CRLA,OR,2022,November,10481,3700,36782,1850,0,0,0,0,5,0,0,5
Crater Lake National Park,CRLA,OR,2022,December,5484,4300,19674,2150,0,0,0,0,24,0,0,24
Crater Lake National Park,CRLA,OR,2023,January,4384,2100,15563,1050,0,0,0,0,11,0,0,11
Crater Lake National Park,CRLA,OR,2023,February,8143,2400,30121,1200,0,0,0,0,81,0,0,81
Crater Lake National Park,CRLA,OR,2023,March,14062,2800,50596,1400,0,0,0,0,69,0,0,69
Crater Lake National Park,CRLA,OR,2023,April,15850,4800,58814,2400,0,0,0,0,167,0,0,167
Crater Lake National Park,CRLA,OR,2023,May,29030,4900,135858,2450,2047,0,0,0,75,0,0,2122
Crater Lake National Park,CRLA,OR,2023,June,54566,6100,344678,3050,9396,0,0,120,48,0,0,9564
Crater Lake National Park,CRLA,OR,2023,July,155809,6500,976287,3250,7531,0,0,15117,406,0,0,23054
Crater Lake National Park,CRLA,OR,2023,August,127179,3900,850186,1950,7215,0,0,14257,224,0,0,21696
Crater Lake National Park,CRLA,OR,2023,September,78550,4800,626584,2400,7270,0,0,11543,224,0,0,19037
Crater Lake National Park,CRLA,OR,2023,October,45595,3300,202671,1650,2568,0,0,0,100,0,0,2668
Crater Lake National Park,CRLA,OR,2023,November,15376,3700,54615,1850,0,0,0,0,40,0,0,40
Crater Lake National Park,CRLA,OR,2023,December,11432,4300,41711,2150,0,0,0,0,85,0,0,85
Crater Lake National Park,CRLA,OR,2024,January,4659,2100,16927,1050,0,0,0,0,31,0,0,31
Crater Lake National Park,CRLA,OR,2024,February,5304,2400,19704,1200,0,0,0,0,57,0,0,57
Crater Lake National Park,CRLA,OR,2024,March,7277,2800,29109,1400,0,0,0,0,182,0,0,182
Crater Lake National Park,CRLA,OR,2024,April,13142,4800,48138,2400,0,0,0,0,107,0,0,107
Crater Lake National Park,CRLA,OR,2024,May,31706,4900,154044,2450,2602,0,0,0,72,0,0,2674
Crater Lake National Park,CRLA,OR,2024,June,66311,6100,375672,3050,6799,0,0,1632,108,0,0,8539
Crater Lake National Park,CRLA,OR,2024,July,153196,6500,977387,3250,7785,0,0,15461,371,0,0,23617
Crater Lake National Park,CRLA,OR,2024,August,93343,3900,711619,1950,7005,0,0,13534,108,0,0,20647
Crater Lake National Park,CRLA,OR,2024,September,75658,4800,505566,2400,5504,0,0,7517,118,0,0,13139
Crater Lake National Park,CRLA,OR,2024,October,42103,3300,175545,1650,1699,0,0,0,50,0,0,1749
Crater Lake National Park,CRLA,OR,2024,November,7238,3700,25554,1850,0,0,0,0,11,0,0,11
Crater Lake National Park,CRLA,OR,2024,December,5005,4300,17899,2150,0,0,0,0,19,0,0,19
Crater Lake National Park,CRLA,OR,2025,January,4958,2100,18794,1050,0,0,0,0,72,0,0,72
Crater Lake National Park,CRLA,OR,2025,February,3060,2400,11491,1200,0,0,0,0,39,0,0,39
Crater Lake National Park,CRLA,OR,2025,March,5633,2800,21455,1400,0,0,0,0,87,0,0,87
Crater Lake National Park,CRLA,OR,2025,April,14832,4800,54772,2400,0,0,0,0,143,0,0,143
Crater Lake National Park,CRLA,OR,2025,May,31922,4900,133532,2450,1254,0,0,0,87,0,0,1341
Crater Lake National Park,CRLA,OR,2025,June,73327,6100,335337,3050,3092,0,0,1397,64,0,0,4553
Crater Lake National Park,CRLA,OR,2025,July,178886,6500,903502,3250,3265,0,0,10669,589,0,0,14523
Crater Lake National Park,CRLA,OR,2025,August,189696,3900,994932,1950,6696,0,0,10631,562,0,0,17889
Crater Lake National Park,CRLA,OR,2025,September,107486,4800,625758,2400,5046,0,0,8171,270,0,0,13487
Crater Lake National Park,CRLA,OR,2025,October,11422,3300,62880,1650,1409,0,0,0,18,0,0,1427
Crater Lake National Park,CRLA,OR,2025,November,6380,3700,22630,1850,0,0,0,0,15,0,0,15
Crater Lake National Park,CRLA,OR,2025,December,4640,4300,16700,2150,0,0,0,0,23,0,0,23
Acadia National Park,ACAD,ME ,2015,January,12578,600,83017,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2015,February,10626,600,70132,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2015,March,18062,600,119207,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2015,April,63214,600,366642,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2015,May,187205,7500,1062976,7500,0,10248,1737,0,44,753,0,12782
Acadia National Park,ACAD,ME ,2015,June,359661,7500,2031345,7500,0,20187,4776,0,222,1191,0,26376
Acadia National Park,ACAD,ME ,2015,July,606597,7500,2975978,7500,0,36642,7992,0,310,2542,0,47486
Acadia National Park,ACAD,ME ,2015,August,666767,7500,3266176,7500,0,36042,7902,0,332,2167,0,46443
Acadia National Park,ACAD,ME ,2015,September,479320,7500,2232571,7500,0,23814,7206,0,241,1171,0,32432
Acadia National Park,ACAD,ME ,2015,October,344362,6000,1867356,6000,0,8067,2481,0,84,519,0,11151
Acadia National Park,ACAD,ME ,2015,November,48912,600,293469,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2015,December,13880,600,83282,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2016,January,17204,600,113549,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2016,February,16530,600,109098,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2016,March,28121,600,185597,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2016,April,94199,600,575374,600,0,885,168,0,0,10,0,1063
Acadia National Park,ACAD,ME ,2016,May,217147,7500,1587762,7500,0,10521,1854,0,38,637,0,13050
Acadia National Park,ACAD,ME ,2016,June,445410,7500,3496610,7500,0,25488,7938,0,303,1425,0,35154
Acadia National Park,ACAD,ME ,2016,July,696854,7500,4880430,7500,0,39942,11757,0,353,2966,0,55018
Acadia National Park,ACAD,ME ,2016,August,735945,7500,5075152,7500,0,40557,11649,360,381,2250,0,55197
Acadia National Park,ACAD,ME ,2016,September,570434,7500,3596598,7500,0,23148,10044,617,249,984,0,35042
Acadia National Park,ACAD,ME ,2016,October,412416,6000,2663628,6000,0,12270,3219,0,0,291,0,15780
Acadia National Park,ACAD,ME ,2016,November,55022,600,330133,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2016,December,14111,600,84665,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2017,January,15520,600,102429,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2017,February,14342,600,94657,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2017,March,20936,600,138175,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2017,April,85267,600,516088,600,0,594,195,0,0,0,0,789
Acadia National Park,ACAD,ME ,2017,May,222978,7500,1680423,7500,0,10827,3213,100,298,788,0,15226
Acadia National Park,ACAD,ME ,2017,June,476191,7500,3657913,7500,0,24372,9360,343,298,1976,0,36349
Acadia National Park,ACAD,ME ,2017,July,743529,7500,5107426,7500,0,39429,12642,188,325,2929,0,55513
Acadia National Park,ACAD,ME ,2017,August,762436,7500,5209104,7500,0,39864,11874,368,336,3071,0,55513
Acadia National Park,ACAD,ME ,2017,September,595388,7500,3916584,7500,0,27054,13554,556,253,1565,0,42982
Acadia National Park,ACAD,ME ,2017,October,507594,6000,3201030,6000,0,10446,4974,102,87,560,0,16169
Acadia National Park,ACAD,ME ,2017,November,53006,600,318037,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2017,December,12084,600,72504,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2018,January,11974,600,79026,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2018,February,12167,600,80301,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2018,March,23756,600,156790,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2018,April,72858,600,421428,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2018,May,249050,7500,1854392,7500,0,11325,3912,25,126,815,0,16203
Acadia National Park,ACAD,ME ,2018,June,499163,7500,3861197,7500,0,25626,10479,296,323,2490,0,39214
Acadia National Park,ACAD,ME ,2018,July,759165,7500,5119628,7500,0,37218,12723,188,345,3286,0,53760
Acadia National Park,ACAD,ME ,2018,August,767219,7500,5175840,7500,0,37923,12579,370,345,3134,0,54351
Acadia National Park,ACAD,ME ,2018,September,600397,7500,3885466,7500,0,25128,14097,485,271,1542,0,41523
Acadia National Park,ACAD,ME ,2018,October,488204,6000,2657950,6000,0,7524,4425,0,62,431,0,12442
Acadia National Park,ACAD,ME ,2018,November,40930,600,245582,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2018,December,12692,600,76154,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2019,January,8532,600,56311,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2019,February,9154,600,60414,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2019,March,20161,600,133064,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2019,April,68046,600,394023,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2019,May,226156,7500,1670692,7500,0,10416,3327,4,0,1012,0,14759
Acadia National Park,ACAD,ME ,2019,June,490720,7500,3731975,7500,0,23721,10383,102,263,1851,0,36320
Acadia National Park,ACAD,ME ,2019,July,756439,7500,5049909,7500,0,36135,11853,117,357,3222,0,51684
Acadia National Park,ACAD,ME ,2019,August,759735,7500,5159613,7500,0,39093,11637,242,396,3806,0,55174
Acadia National Park,ACAD,ME ,2019,September,603273,7500,3807421,7500,0,22425,15174,500,185,1393,0,39677
Acadia National Park,ACAD,ME ,2019,October,436194,6000,2778987,6000,0,9195,5322,125,83,390,0,15115
Acadia National Park,ACAD,ME ,2019,November,46011,600,276064,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2019,December,12865,600,77191,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,January,12640,600,83421,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,February,13459,600,88831,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,March,28539,600,188356,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,April,55713,600,323135,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,May,103120,7500,598096,7500,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,June,201156,7500,1165036,7500,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,July,493971,7500,2470139,7500,0,0,0,307,0,0,0,307
Acadia National Park,ACAD,ME ,2020,August,681746,7500,3395169,7500,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,September,500320,7500,2492205,7500,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,October,480859,6000,2874780,6000,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,November,76251,600,457504,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2020,December,21260,600,127562,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2021,January,20268,600,133769,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2021,February,16123,600,106413,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2021,March,38060,600,251199,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2021,April,110096,600,638557,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2021,May,324654,7500,2168850,7500,0,7992,2460,19,0,0,0,10471
Acadia National Park,ACAD,ME ,2021,June,661919,7500,4505504,7500,0,16794,7186,294,161,0,0,24435
Acadia National Park,ACAD,ME ,2021,July,782146,7500,4927236,7500,0,27930,9880,205,390,0,0,38405
Acadia National Park,ACAD,ME ,2021,August,795437,7500,4991696,7500,0,28405,8986,419,534,0,0,38344
Acadia National Park,ACAD,ME ,2021,September,667301,7500,4096436,7500,0,19035,8854,446,386,0,0,28721
Acadia National Park,ACAD,ME ,2021,October,557624,6000,3649594,6000,0,7602,3306,224,141,0,0,11273
Acadia National Park,ACAD,ME ,2021,November,81089,600,486535,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2021,December,14381,600,86285,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2022,January,10411,600,68714,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2022,February,13045,600,86098,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2022,March,22476,600,148339,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2022,April,105126,600,609731,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2022,May,327466,7500,2324994,7500,0,11425,3335,46,83,717,0,15606
Acadia National Park,ACAD,ME ,2022,June,603023,7500,4551580,7500,0,26065,10517,168,304,1597,0,38651
Acadia National Park,ACAD,ME ,2022,July,791358,7500,5282410,7500,0,34279,12171,285,426,2907,0,50068
Acadia National Park,ACAD,ME ,2022,August,785236,7500,5187635,7500,0,33971,10550,493,299,2322,0,47635
Acadia National Park,ACAD,ME ,2022,September,697292,7500,4379256,7500,0,22110,9655,414,261,1279,0,33719
Acadia National Park,ACAD,ME ,2022,October,521646,6000,3480420,6000,0,8333,3419,478,99,668,0,12997
Acadia National Park,ACAD,ME ,2022,November,70675,600,424050,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2022,December,22506,600,135036,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2023,January,15217,600,100434,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2023,February,15281,600,100853,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2023,March,30822,600,203428,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2023,April,102928,600,596982,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2023,May,340425,7500,2369803,7500,0,10049,3669,33,68,672,0,14491
Acadia National Park,ACAD,ME ,2023,June,566535,7500,4257742,7500,0,23409,10058,231,233,1701,0,35632
Acadia National Park,ACAD,ME ,2023,July,767956,7500,5059220,7500,0,30431,12119,338,408,2766,0,46062
Acadia National Park,ACAD,ME ,2023,August,774296,7500,5042016,7500,0,30048,10576,456,417,2721,0,44218
Acadia National Park,ACAD,ME ,2023,September,643506,7500,4027568,7500,0,19211,9458,194,324,1417,0,30604
Acadia National Park,ACAD,ME ,2023,October,541067,6000,3555236,6000,0,7467,3194,351,120,323,0,11455
Acadia National Park,ACAD,ME ,2023,November,66987,600,401921,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2023,December,14870,600,89222,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2024,January,15538,600,102548,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2024,February,14071,600,92870,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2024,March,25696,600,169596,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2024,April,95165,600,551957,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2024,May,320885,7500,2285053,7500,0,10570,4077,33,68,790,0,15538
Acadia National Park,ACAD,ME ,2024,June,599015,7500,4602445,7500,0,27362,11365,231,233,2167,0,41358
Acadia National Park,ACAD,ME ,2024,July,791029,7500,5273128,7500,0,34985,11747,245,159,2650,0,49786
Acadia National Park,ACAD,ME ,2024,August,795332,7500,5289803,7500,0,35620,10748,456,130,2640,0,49594
Acadia National Park,ACAD,ME ,2024,September,646116,7500,4119237,7500,0,21576,10089,351,449,1119,0,33584
Acadia National Park,ACAD,ME ,2024,October,567466,6000,3914020,6000,0,12626,4924,351,136,842,0,18879
Acadia National Park,ACAD,ME ,2024,November,76388,600,458329,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2024,December,14960,600,89762,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2025,January,13183,600,87009,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2025,February,10352,600,68326,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2025,March,26000,600,171600,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2025,April,95200,600,552160,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2025,May,323243,7500,2340119,7500,0,11606,4468,34,80,867,0,17055
Acadia National Park,ACAD,ME ,2025,June,631333,7500,4699110,7500,0,25087,10222,200,221,2294,0,38024
Acadia National Park,ACAD,ME ,2025,July,797030,7500,5182020,7500,0,29762,11799,289,213,3122,0,45185
Acadia National Park,ACAD,ME ,2025,August,844268,7500,5420310,7500,0,31331,10181,456,330,2993,0,45291
Acadia National Park,ACAD,ME ,2025,September,659471,7500,4135320,7500,0,19484,9915,351,324,1584,0,31658
Acadia National Park,ACAD,ME ,2025,October,599253,6000,4114736,6000,0,11661,6210,351,120,904,0,19246
Acadia National Park,ACAD,ME ,2025,November,68005,600,408032,600,0,0,0,0,0,0,0,0
Acadia National Park,ACAD,ME ,2025,December,11980,600,71878,600,0,0,0,0,0,0,0,0
Arches National Park,ARCH,UT,2015,January,20699,0,73205,0,0,288,137,0,14,24,0,463
Arches National Park,ARCH,UT,2015,February,34255,0,136062,0,0,842,432,0,25,88,0,1387
Arches National Park,ARCH,UT,2015,March,103649,0,453777,0,0,3853,1401,0,230,467,0,5951
Arches National Park,ARCH,UT,2015,April,138903,0,573009,0,0,3364,2157,0,219,772,0,6512
